Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 03:55:45 PM,16.53,50,826.50,
16/03/2016 03:55:38 PM,16.54,48,793.92,
16/03/2016 03:55:38 PM,16.54,13,215.02,
16/03/2016 03:55:38 PM,16.54,43,711.22,
16/03/2016 03:55:38 PM,16.54,18,297.72,
16/03/2016 03:55:32 PM,16.54,164,2711.74,CXXT
16/03/2016 03:55:32 PM,16.54,375,6200.63,CXXT
16/03/2016 03:55:32 PM,16.54,1,16.54,
16/03/2016 03:55:29 PM,16.53,46,760.38,
16/03/2016 03:55:29 PM,16.53,2,33.06,
16/03/2016 03:55:29 PM,16.53,1,16.53,
16/03/2016 03:55:27 PM,16.53,346,5719.38,
